#domain,ioc,uri_path
iane.initiativeus.com,Possible Cobalt Strike C2 Domain,/gecko-002209d43095321-04009-29d082d
iane.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
incididunt.com,Possible Cobalt Strike C2 Domain,/updates.rss
independent.vittoriocas137.workers.dev,Possible Cobalt Strike C2 Domain,/poll
info.bookworld-langchao.work,Possible Cobalt Strike C2 Domain,/jquery.js
ivukwzbzfw.gofunhome.buzz,Possible Cobalt Strike C2 Domain,/bootstrap/5.1.8/js/bootstrap.min.js
jahayakoj.info,Possible Cobalt Strike C2 Fronted Domain,/dz
jahayakoj.info,Possible Cobalt Strike C2 Fronted Domain,/mk
jelly.readteam.cloud,Possible Cobalt Strike C2 Domain,/__utm.gif
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain,/en_US/all.js
jt.tnnd.ml,Possible Cobalt Strike C2 Domain,/xmlconnect.html
k.mo4.xyz,Possible Cobalt Strike C2 Domain,/upset/v8.46/6P3ZMHTM
kihurij.com,Possible Cobalt Strike C2 Domain,/Demo/Internet/FT2F740QMYJ
lauracenters.com,Possible Cobalt Strike C2 Domain,/design/query/9X5M3SOE0F
leno.initiativeus.com,Possible Cobalt Strike C2 Domain,/gecko-002209d43095321-04009-29d082d
leno.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
lijiang.yunnan.cn,Possible Cobalt Strike C2 Fronted Domain,/owa
linkpop.com.s3.bucket-amazon.com,Possible Cobalt Strike C2 Domain,/signin
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain,/api/3
login.webapi-telegram.com,Possible Cobalt Strike C2 Domain,/msdownload/update/v3/static/trustedr/ru/authrootstl.cab
lzcs.iplinkedlists.tk,Possible Cobalt Strike C2 Domain,/getapi
m7py7pju95.execute-api.us-east-1.amazonaws.com,Possible Cobalt Strike C2 Domain,/api/en-us/p/book-2/8MCPZJJCC98C
mail.cncb.info,Possible Cobalt Strike C2 Domain,/updates
mail.freeonline-office.com,Possible Cobalt Strike C2 Domain,/signin
matrix-architectural.com,Possible Cobalt Strike C2 Domain,/design/query/9X5M3SOE0F
mecezom.biz,Possible Cobalt Strike C2 Fronted Domain,/modcp.css
microsoftservice.ml,Possible Cobalt Strike C2 Domain,/owa/
msdwn.herokuapp.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
mx.weixin3.bond,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2022/10/29136388_
n1.yahu360.space,Possible Cobalt Strike C2 Domain,/pixel
nc1.mlcr0s0ft.one,Possible Cobalt Strike C2 Domain,/api/3
network.drivespacenet.com,Possible Cobalt Strike C2 Domain,/www/handle/doc
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain,/pixel.gif
njohsp.gov,Possible Cobalt Strike C2 Fronting Domain,/remove
nn.gxyy77.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
note.jianshu.com,Possible Cobalt Strike C2 Fronting Domain,/azure/api/v2/userinfo/get
note.jianshu.com.wsdvs.com,Possible Cobalt Strike C2 Fronted Domain,/azure/api/v2/userinfo/get
note1.mcuweb.cf,Possible Cobalt Strike C2 Domain,/jquery-3.6.0.min.js
note2.mcuweb.cf,Possible Cobalt Strike C2 Domain,/jquery-3.6.0.min.js
note3.mcuweb.cf,Possible Cobalt Strike C2 Domain,/jquery-3.6.0.min.js
notmalware.red-wizard-demo-01.nl,Possible Cobalt Strike C2 Domain,/718acd1d-f3aa-4848-860a-c077e2c59189/
ns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
ns.googlearth.top,Possible Cobalt Strike C2 Domain,/image/
ns.msazure.dnsrd.com,Possible Cobalt Strike C2 Domain,/Windows
ns1.007work.icu,Possible Cobalt Strike C2 Domain,/ca
ns1.007work.icu,Possible Cobalt Strike C2 Domain,/cm
ns1.333ling.com,Possible Cobalt Strike C2 Domain,/push
ns1.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain,/pixel.gif
ns1.ace3.ru,Possible Cobalt Strike C2 Domain,/gmail/about/static-2.0/js/main.min.js
ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
