#domain,ioc,IPs,C2Domains
"microsofthk.com","Possible Cobaltstrike DNS C2 Domain","149.127.215.132 45.12.138.95","update.microsofthk.com"
"microsoftkernel.com","Possible Cobaltstrike DNS C2 Domain","149.127.215.132 45.12.138.95","update.microsoftkernel.com"
"microsoftser.top","Possible Cobaltstrike DNS C2 Domain","181.214.39.102 23.95.44.80","exchange1.microsoftser.top exchange2.microsoftser.top exchanges1.microsoftser.top exchanges2.microsoftser.top"
"microtimezone.com","Possible Cobaltstrike DNS C2 Domain","66.29.131.147","ns1.microtimezone.com ns2.microtimezone.com"
"miira.live","Possible Cobaltstrike DNS C2 Domain","139.59.235.156","miira.live web.miira.live"
"mlcr0s0ft.one","Possible Cobaltstrike DNS C2 Domain","45.32.253.112","nc1.mlcr0s0ft.one ns1.mlcr0s0ft.one"
"mmmllkps.tk","Possible Cobaltstrike DNS C2 Domain","54.199.248.162","api.mmmllkps.tk"
"mmsy.top","Possible Cobaltstrike DNS C2 Domain","52.253.108.7","v2ray1.mmsy.top v2ray2.mmsy.top"
"mwam.support","Possible Cobaltstrike DNS C2 Domain","18.184.17.94","contact.mwam.support"
"mydhx.top","Possible Cobaltstrike DNS C2 Domain","82.157.63.28","ns.mydhx.top test.mydhx.top"
"nadra-pk.org","Possible Cobaltstrike DNS C2 Domain","45.76.90.103","check.update.nadra-pk.org pak.update.nadra-pk.org verify.update.nadra-pk.org"
"niggerasssys.com","Possible Cobaltstrike DNS C2 Domain","167.179.114.165","ns1.niggerasssys.com ns2.niggerasssys.com"
"noreply-alert.cloud","Possible Cobaltstrike DNS C2 Domain","35.183.12.131","dns1.noreply-alert.cloud"
"npmstatic.com","Possible Cobaltstrike DNS C2 Domain","100.25.156.1","help.npmstatic.com"
"officeappsreviews.com","Possible Cobaltstrike DNS C2 Domain","146.70.79.23 158.247.218.76 37.120.234.98","acc.officeappsreviews.com exl.officeappsreviews.com ppt.officeappsreviews.com"
"oregonwomenshealthnetwork.com","Possible Cobaltstrike DNS C2 Domain","100.26.177.234","look.oregonwomenshealthnetwork.com"
"ossqianxin.co","Possible Cobaltstrike DNS C2 Domain","204.236.138.252","ns1.ossqianxin.co ns2.ossqianxin.co ns3.ossqianxin.co"
"outlookonlines.com","Possible Cobaltstrike DNS C2 Domain","172.105.192.139","iane.outlookonlines.com leno.outlookonlines.com rano.outlookonlines.com"
"pain.capetown","Possible Cobaltstrike DNS C2 Domain","47.45.19.153","mom.pain.capetown"
"pcr21t.com","Possible Cobaltstrike DNS C2 Domain","45.76.157.177","prx.pcr21t.com"
"pdota.top","Possible Cobaltstrike DNS C2 Domain","120.48.87.88","ns188.pdota.top"
"phruit.shop","Possible Cobaltstrike DNS C2 Domain","13.228.103.159","apple.phruit.shop"
"portcom-slpa.site","Possible Cobaltstrike DNS C2 Domain","178.128.59.129","auth.up.portcom-slpa.site port.up.portcom-slpa.site"
"protax123.com","Possible Cobaltstrike DNS C2 Domain","54.144.139.62","lack.protax123.com"
"proxyservice.shop","Possible Cobaltstrike DNS C2 Domain","124.221.58.61","ns1.proxyservice.shop"
"qianxinsecurity.com","Possible Cobaltstrike DNS C2 Domain","121.199.70.107","testdcxtadmin.qianxinsecurity.com testdcxtadmin1.qianxinsecurity.com"
