#domain,ioc
lzcs.iplinkedlists.tk,Possible Cobalt Strike C2 Domain
m.ctrip.com,Possible Cobalt Strike C2 Fronting Domain
mail.freeonline-office.com,Possible Cobalt Strike C2 Domain
master.drobenhealth.com,Possible Cobalt Strike C2 Domain
mecezom.biz,Possible Cobalt Strike C2 Fronted Domain
microsoftservice.ml,Possible Cobalt Strike C2 Domain
mpls.myvnc.com,Possible Cobalt Strike C2 Fronted Domain
msdwn.herokuapp.com,Possible Cobalt Strike C2 Domain
mx.weixin3.bond,Possible Cobalt Strike C2 Domain
nc1.mlcr0s0ft.one,Possible Cobalt Strike C2 Domain
network.drivespacenet.com,Possible Cobalt Strike C2 Domain
news.komitemedical.com,Possible Cobalt Strike C2 Domain
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain
note.jianshu.com,Possible Cobalt Strike C2 Fronting Domain
note.jianshu.com.wsdvs.com,Possible Cobalt Strike C2 Fronted Domain
note1.mcuweb.cf,Possible Cobalt Strike C2 Domain
note2.mcuweb.cf,Possible Cobalt Strike C2 Domain
note3.mcuweb.cf,Possible Cobalt Strike C2 Domain
notmalware.red-wizard-demo-01.nl,Possible Cobalt Strike C2 Domain
ns.checkavail.space,Possible Cobalt Strike C2 Domain
ns.msazure.dnsrd.com,Possible Cobalt Strike C2 Domain
ns.qaxno1.ml,Possible Cobalt Strike C2 Domain
ns.z7-tech.com,Possible Cobalt Strike C2 Domain
ns1.007work.icu,Possible Cobalt Strike C2 Domain
ns1.a1batr0ss.xyz,Possible Cobalt Strike C2 Domain
ns1.abcon.online,Possible Cobalt Strike C2 Domain
ns1.ace3.ru,Possible Cobalt Strike C2 Domain
ns1.akingump.cloud,Possible Cobalt Strike C2 Domain
ns1.alidns1.tk,Possible Cobalt Strike C2 Domain
ns1.aptce4.top,Possible Cobalt Strike C2 Domain
ns1.bogotatrade.co,Possible Cobalt Strike C2 Fronted Domain
ns1.bre1ce.top,Possible Cobalt Strike C2 Domain
ns1.bustring.com,Possible Cobalt Strike C2 Domain
ns1.cdnmax.info,Possible Cobalt Strike C2 Domain
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns1.corpais900.co,Possible Cobalt Strike C2 Domain
ns1.criticallizard.com,Possible Cobalt Strike C2 Fronting Domain
ns1.crnbchina.top,Possible Cobalt Strike C2 Domain
ns1.ctfer.club,Possible Cobalt Strike C2 Domain
ns1.digitelela.com,Possible Cobalt Strike C2 Fronted Domain
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain
ns1.dnehtb.cn,Possible Cobalt Strike C2 Domain
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns1.glthub.icu,Possible Cobalt Strike C2 Domain
ns1.gonamph.com,Possible Cobalt Strike C2 Domain
ns1.hammercdntech.com,Possible Cobalt Strike C2 Domain
ns1.hanqianye.com,Possible Cobalt Strike C2 Fronted Domain
ns1.hkappdev.com,Possible Cobalt Strike C2 Domain
ns1.icbci.top,Possible Cobalt Strike C2 Domain
ns1.imortal.icu,Possible Cobalt Strike C2 Domain
ns1.linkein.org,Possible Cobalt Strike C2 Domain
ns1.m1crosoft.cloud,Possible Cobalt Strike C2 Domain
ns1.microtimezone.com,Possible Cobalt Strike C2 Domain
ns1.micsoft.org,Possible Cobalt Strike C2 Domain
ns1.mlcr0s0ft.one,Possible Cobalt Strike C2 Domain
ns1.nateeka.com,Possible Cobalt Strike C2 Domain
ns1.niggerasssys.com,Possible Cobalt Strike C2 Domain
ns1.ossqianxin.co,Possible Cobalt Strike C2 Domain
ns1.peermanshuus.bio,Possible Cobalt Strike C2 Domain
