#ip,ioc
107.174.138.166,Possible Cobaltstrike C2 IP
107.174.192.58,Possible Cobaltstrike C2 IP
107.174.64.112,Possible Cobaltstrike C2 IP
107.174.66.104,Possible Cobaltstrike C2 IP
107.174.95.78,Possible Cobaltstrike C2 IP
107.175.111.199,Possible Cobaltstrike C2 IP
107.175.142.60,Possible Cobaltstrike C2 IP
107.175.245.165,Possible Cobaltstrike C2 IP
107.189.12.159,Possible Cobaltstrike C2 IP
107.189.3.19,Possible Cobaltstrike C2 IP
107.189.31.184,Possible Cobaltstrike C2 IP
109.206.245.161,Possible Cobaltstrike C2 IP
110.185.104.124,Possible Cobaltstrike C2 IP
110.40.184.247,Possible Cobaltstrike C2 IP
110.40.195.32,Possible Cobaltstrike C2 IP
110.41.154.211,Possible Metasploit C2 IP
110.41.162.116,Possible Cobaltstrike C2 IP
110.42.205.49,Possible Cobaltstrike C2 IP
110.42.213.232,Possible Cobaltstrike C2 IP
110.42.229.51,Possible Cobaltstrike C2 IP
110.42.234.190,Possible Cobaltstrike C2 IP
110.81.153.75,Possible Cobaltstrike C2 IP
111.229.10.49,Possible Cobaltstrike C2 IP
111.229.97.178,Possible Cobaltstrike C2 IP
111.230.103.22,Possible Cobaltstrike C2 IP
111.230.11.169,Possible Cobaltstrike C2 IP
111.230.111.193,Possible Cobaltstrike C2 IP
111.230.194.172,Possible Cobaltstrike C2 IP
111.230.242.129,Possible Cobaltstrike C2 IP
111.230.26.9,Possible Cobaltstrike C2 IP
111.230.30.197,Possible Cobaltstrike C2 IP
111.230.42.149,Possible Cobaltstrike C2 IP
111.230.71.198,Possible Cobaltstrike C2 IP
111.230.74.60,Possible Cobaltstrike C2 IP
111.230.80.153,Possible Cobaltstrike C2 IP
111.231.11.43,Possible Cobaltstrike C2 IP
111.231.21.83,Possible Cobaltstrike C2 IP
111.231.24.230,Possible Cobaltstrike C2 IP
111.231.28.170,Possible Cobaltstrike C2 IP
111.231.28.26,Possible Cobaltstrike C2 IP
111.67.194.17,Possible Cobaltstrike C2 IP
111.67.197.76,Possible Cobaltstrike C2 IP
111.67.199.43,Possible Cobaltstrike C2 IP
111.90.143.37,Possible Metasploit C2 IP
111.90.146.161,Possible Cobaltstrike C2 IP
111.90.149.46,Possible Metasploit C2 IP
111.92.241.196,Possible Cobaltstrike C2 IP
112.124.14.64,Possible Cobaltstrike C2 IP
112.124.53.64,Possible Cobaltstrike C2 IP
112.124.64.37,Possible Cobaltstrike C2 IP
112.74.181.96,Possible Cobaltstrike C2 IP
112.74.184.37,Possible Cobaltstrike C2 IP
112.91.164.42,Possible Cobaltstrike C2 IP
113.50.0.109,Possible Cobaltstrike C2 IP
114.115.150.139,Possible Cobaltstrike C2 IP
114.115.160.181,Possible Cobaltstrike C2 IP
114.115.178.231,Possible Cobaltstrike C2 IP
114.115.184.15,Possible Cobaltstrike C2 IP
114.115.185.41,Possible Cobaltstrike C2 IP
114.115.185.63,Possible Cobaltstrike C2 IP
114.115.210.125,Possible Cobaltstrike C2 IP
114.115.212.24,Possible Cobaltstrike C2 IP
114.115.218.16,Possible Cobaltstrike C2 IP
114.115.220.3,Possible Cobaltstrike C2 IP
114.118.4.166,Possible Cobaltstrike C2 IP
114.132.150.96,Possible Cobaltstrike C2 IP
114.132.156.55,Possible Cobaltstrike C2 IP
114.132.167.45,Possible Cobaltstrike C2 IP
114.132.172.91,Possible Cobaltstrike C2 IP
114.132.199.254,Possible Metasploit C2 IP
114.132.234.149,Possible Cobaltstrike C2 IP
114.132.243.226,Possible Cobaltstrike C2 IP
114.132.59.185,Possible Cobaltstrike C2 IP
114.132.73.232,Possible Cobaltstrike C2 IP
114.132.76.158,Possible Cobaltstrike C2 IP
114.132.76.18,Possible Cobaltstrike C2 IP
114.55.103.128,Possible Cobaltstrike C2 IP
114.55.106.100,Possible Cobaltstrike C2 IP
114.55.244.175,Possible Cobaltstrike C2 IP
114.67.229.116,Possible Cobaltstrike C2 IP
115.159.200.81,Possible Cobaltstrike C2 IP
115.159.205.225,Possible Cobaltstrike C2 IP
115.29.171.175,Possible Cobaltstrike C2 IP
116.196.69.39,Possible Cobaltstrike C2 IP
116.198.11.22,Possible Cobaltstrike C2 IP
116.198.18.133,Possible Cobaltstrike C2 IP
116.198.18.151,Possible Cobaltstrike C2 IP
116.204.115.160,Possible Cobaltstrike C2 IP
116.204.65.190,Possible Cobaltstrike C2 IP
116.204.65.207,Possible Cobaltstrike C2 IP
116.204.71.232,Possible Cobaltstrike C2 IP
116.204.77.75,Possible Cobaltstrike C2 IP
116.204.79.57,Possible Metasploit C2 IP
116.204.81.202,Possible Cobaltstrike C2 IP
116.204.85.141,Possible Cobaltstrike C2 IP
116.204.91.166,Possible Cobaltstrike C2 IP
116.205.140.54,Possible Cobaltstrike C2 IP
116.205.188.190,Possible Cobaltstrike C2 IP
116.205.232.186,Possible Cobaltstrike C2 IP
116.211.148.181,Possible Cobaltstrike C2 IP
116.62.180.202,Possible Cobaltstrike C2 IP
116.62.188.205,Possible Cobaltstrike C2 IP
116.62.218.6,Possible Cobaltstrike C2 IP
116.62.7.54,Possible Cobaltstrike C2 IP
116.63.140.226,Possible Cobaltstrike C2 IP
116.63.162.119,Possible Cobaltstrike C2 IP
116.63.173.221,Possible Cobaltstrike C2 IP
116.63.185.222,Possible Cobaltstrike C2 IP
117.18.13.220,Possible Cobaltstrike C2 IP
117.25.130.94,Possible Cobaltstrike C2 IP
117.50.163.113,Possible Cobaltstrike C2 IP
117.50.174.131,Possible Cobaltstrike C2 IP
117.50.176.248,Possible Cobaltstrike C2 IP
117.50.182.87,Possible Cobaltstrike C2 IP
117.50.183.12,Possible Cobaltstrike C2 IP
117.50.184.22,Possible Cobaltstrike C2 IP
117.50.185.74,Possible Cobaltstrike C2 IP
117.50.187.164,Possible Cobaltstrike C2 IP
117.50.187.39,Possible Cobaltstrike C2 IP
117.50.192.220,Possible Cobaltstrike C2 IP
117.50.193.69,Possible Cobaltstrike C2 IP
117.50.37.182,Possible Cobaltstrike C2 IP
117.62.217.78,Possible Cobaltstrike C2 IP
117.72.16.240,Possible Cobaltstrike C2 IP
117.78.20.229,Possible Cobaltstrike C2 IP
118.126.95.13,Possible Cobaltstrike C2 IP
118.178.133.227,Possible Cobaltstrike C2 IP
118.190.210.23,Possible Cobaltstrike C2 IP
118.195.140.170,Possible Cobaltstrike C2 IP
118.195.144.216,Possible Cobaltstrike C2 IP
118.195.145.185,Possible Cobaltstrike C2 IP
118.195.175.127,Possible Cobaltstrike C2 IP
118.195.179.203,Possible Cobaltstrike C2 IP
118.195.181.106,Possible Cobaltstrike C2 IP
118.195.184.126,Possible Cobaltstrike C2 IP
118.195.193.27,Possible Cobaltstrike C2 IP
