#domain,ioc,uri_path
framedscenes.com,Possible Cobalt Strike C2 Domain,/design/query/9X5M3SOE0F
freehish.xyz,Possible Cobalt Strike C2 Domain,/image/
front.healthxpr.com,Possible Cobalt Strike C2 Domain,/j.ad
fwe43.danamoninternal.com,Possible Cobalt Strike C2 Domain,/jquery-3.6.1.min.js
fxe12.danamoninternal.com,Possible Cobalt Strike C2 Domain,/jquery-3.6.1.min.js
gk-stst.ru,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
gobyhacking.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
googlecloudsvcs.com,Possible Cobalt Strike C2 Domain,/g.pixel
gvlgq3xhw5-spot-sta1.b-cdn.net,Possible Cobalt Strike C2 Domain,/recaptcha/web/player
haha.com,Possible Cobalt Strike C2 Fronting Domain,/api/x
harmonyshoused.com,Possible Cobalt Strike C2 Domain,/design/query/9X5M3SOE0F
harudake.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
hello-world-steep-glade-9514.ddosploit.workers.dev,Possible Cobalt Strike C2 Domain,/us
help.npmstatic.com,Possible Cobalt Strike C2 Domain,/default.jsp
hepinghealth365.top,Possible Cobalt Strike C2 Domain,/index.html
home.yangguifeiyahoo.shop,Possible Cobalt Strike C2 Domain,/image/
hufoxapom.us,Possible Cobalt Strike C2 Domain,/calculate/v3.3/9AIEC05QK8H8
hunanshengweibajgongshi.site,Possible Cobalt Strike C2 Domain,/api/3
iane.initiativeus.com,Possible Cobalt Strike C2 Domain,/gecko-002209d43095321-04009-29d082d
iane.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
image.baiduu.org,Possible Cobalt Strike C2 Domain,/load
image.baiduu.org,Possible Cobalt Strike C2 Domain,/push
incididunt.com,Possible Cobalt Strike C2 Domain,/activity
incididunt.com,Possible Cobalt Strike C2 Domain,/pixel
incitewebsolution.com,Possible Cobalt Strike C2 Domain,/av
incitewebsolution.com,Possible Cobalt Strike C2 Domain,/copyright
incitewebsolution.com,Possible Cobalt Strike C2 Domain,/lt
intrafi.azureedge.net,Possible Cobalt Strike C2 Domain,/search
jdklove.top,Possible Cobalt Strike C2 Domain,/improve/v7.98/F60H46TG
ji31j6ul4283183.com,Possible Cobalt Strike C2 Domain,/Reactivate/mrtg/7YO56X3S7V1J
jquery.elf33ferr.eu.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain,/__utm.gif
jt.tnnd.ml,Possible Cobalt Strike C2 Domain,/xmlconnect.html
jtexpress.life,Possible Cobalt Strike C2 Domain,/dpixel
k.mo4.xyz,Possible Cobalt Strike C2 Domain,/upset/v8.46/6P3ZMHTM
l.wps.pics,Possible Cobalt Strike C2 Domain,/www/handle/doc
lack.protax123.com,Possible Cobalt Strike C2 Domain,/j.ad
leno.initiativeus.com,Possible Cobalt Strike C2 Domain,/gecko-002209d43095321-04009-29d082d
leno.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
lifeillus.securianretirementcenter.center,Possible Cobalt Strike C2 Domain,/search/
listen.appstored.store,Possible Cobalt Strike C2 Domain,/apple-3.3.1.min.js
local.cnbcheadlines.com,Possible Cobalt Strike C2 Domain,/default.jsp
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain,/api/3
log.speech-microsoft.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2017/12/29132a9e7a0e9a9e2
logs.speech-microsoft.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2017/12/29132a9e7a0e9a9e2
look.oregonwomenshealthnetwork.com,Possible Cobalt Strike C2 Domain,/j.ad
lxnft.org,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
m1.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/static/js/jquery-3.3.1.min.js
m2.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/static/js/jquery-3.3.1.min.js
machine.wizardsfinance.com,Possible Cobalt Strike C2 Domain,/j.ad
mail.admin666.xyz,Possible Cobalt Strike C2 Domain,/load
mail.cncb.info,Possible Cobalt Strike C2 Domain,/updates
